"","County_Name","Date","New_Cases_Today","Positive","Active_Cases","Deaths"
"1:2","Arkansas",2021-02-02,21,1798,151,36
"1:3","Ashley",2021-02-02,6,1654,90,27
"1:4","Baxter",2021-02-02,7,2653,105,95
"1:5","Benton",2021-02-02,127,25307,1301,357
"1:6","Boone",2021-02-02,18,3364,221,74
"1:7","Bradley",2021-02-02,2,1254,49,29
"1:8","Calhoun",2021-02-02,2,352,43,2
"1:9","Carroll",2021-02-02,7,2597,135,39
"1:10","Chicot",2021-02-02,7,1563,38,38
"1:11","Clark",2021-02-02,8,1855,120,35
"1:12","Clay",2021-02-02,8,1581,60,42
"1:13","Cleburne",2021-02-02,6,1771,99,60
"1:14","Cleveland",2021-02-02,12,814,88,23
"1:15","Columbia",2021-02-02,15,1957,109,52
"1:16","Conway",2021-02-02,12,2001,141,28
"1:17","Craighead",2021-02-02,48,12236,439,170
"1:18","Crawford",2021-02-02,36,6251,358,92
"1:19","Crittenden",2021-02-02,25,5402,209,86
"1:20","Cross",2021-02-02,7,1828,73,45
"1:21","Dallas",2021-02-02,7,676,43,12
"1:22","Desha",2021-02-02,5,1223,105,17
"1:23","Drew",2021-02-02,4,1874,118,32
"1:24","Faulkner",2021-02-02,75,10755,712,136
"1:25","Franklin",2021-02-02,7,1516,100,30
"1:26","Fulton",2021-02-02,4,1030,13,43
"1:27","Garland",2021-02-02,40,8451,569,208
"1:28","Grant",2021-02-02,17,1407,88,28
"1:29","Greene",2021-02-02,22,5565,284,66
"1:30","Hempstead",2021-02-02,2,1644,89,14
"1:31","Hot Spring",2021-02-02,19,4440,210,65
"1:32","Howard",2021-02-02,22,1381,82,23
"1:33","Independence",2021-02-02,25,3489,155,113
"1:34","Izard",2021-02-02,21,1579,55,36
"1:35","Jackson",2021-02-02,6,3088,64,32
"1:36","Jefferson",2021-02-02,29,8118,440,151
"1:37","Johnson",2021-02-02,14,2528,142,29
"1:38","Lafayette",2021-02-02,2,457,32,7
"1:39","Lawrence",2021-02-02,7,1927,66,41
"1:40","Lee",2021-02-02,3,1600,20,33
"1:41","Lincoln",2021-02-02,3,3057,67,39
"1:42","Little River",2021-02-02,5,1048,39,39
"1:43","Logan",2021-02-02,9,1990,127,17
"1:44","Lonoke",2021-02-02,51,6044,485,103
"1:45","Madison",2021-02-02,5,1348,98,18
"1:46","Marion",2021-02-02,6,876,53,27
"1:47","Miller",2021-02-02,12,3410,108,29
"1:49","Mississippi",2021-02-02,27,5311,282,107
"1:50","Monroe",2021-02-02,4,739,90,15
"1:51","Montgomery",2021-02-02,3,660,22,27
"1:52","Nevada",2021-02-02,3,722,38,23
"1:53","Newton",2021-02-02,6,654,26,26
"1:54","Ouachita",2021-02-02,12,1986,162,45
"1:55","Perry",2021-02-02,3,685,54,7
"1:56","Phillips",2021-02-02,5,1616,87,31
"1:57","Pike",2021-02-02,3,882,19,19
"1:58","Poinsett",2021-02-02,11,2950,139,72
"1:59","Polk",2021-02-02,12,1676,86,56
"1:60","Pope",2021-02-02,27,7231,332,87
"1:61","Prairie",2021-02-02,6,803,91,21
"1:62","Pulaski",2021-02-02,285,34331,2777,517
"1:63","Randolph",2021-02-02,7,1850,74,46
"1:64","Saline",2021-02-02,71,10519,657,150
"1:65","Scott",2021-02-02,4,874,45,14
"1:66","Searcy",2021-02-02,5,621,32,14
"1:67","Sebastian",2021-02-02,62,13651,715,233
"1:68","Sevier",2021-02-02,10,2365,51,25
"1:69","Sharp",2021-02-02,1,1449,49,47
"1:70","St. Francis",2021-02-02,7,3326,88,33
"1:71","Stone",2021-02-02,1,926,38,29
"1:72","Union",2021-02-02,26,3363,198,92
"1:73","Van Buren",2021-02-02,12,1130,104,14
"1:74","Washington",2021-02-02,87,27806,1162,309
"1:75","White",2021-02-02,55,6631,390,91
"1:76","Woodruff",2021-02-02,5,565,50,8
"1:77","Yell",2021-02-02,22,3078,129,63
